Provinsi,Kabupaten/Kota,Indeks Ketahanan Pangan (IKP),,,,Kriteria Kerentanan Pangan,,,,Produktivitas Padi (ku/ha) (Ku/ha),,,,Luas Panen Padi (ku/ha) (Ku/ha),,,,Indeks Pembangunan Manusia,,,,Rata-Rata Lama Sekolah,,,,Indeks Pembangunan Gender,,,,Angka Partisipasi Murni SD,,,,Angka Partisipasi Murni SMP,,,,Persentase Akses Sanitasi Layak,,,,Angka Harapan Hidup,,,,Indeks Kesehatan,,,,Akses ke Sarana Kesehatan,,,,Asuransi Jaminan Kesehatan BPJS,,,
,Kota Surabaya,81.59,92.14,93.06,73.28,6,6,5,5,56.06,53.58,55.54,57.64,1447.98,1506.01,1321.75,1054.00,83.32,83.99,84.69,85.65,10.51,10.70,10.89,11.15,95.29,95.56,95.75,95.96,97.34,96.98,98.40,,85.86,88.24,57.15,,96.41,97.81,97.69,,75.62,75.82,76.02,76.34,0.85,0.86,0.86,0.87,,,445,487,72.62,80.03,,94.04
,Kota Batu,76.86,80.16,81.31,73.08,6,6,5,5,63.83,66.86,72.72,58.99,1059.45,727.29,503.25,513.00,78.13,79.07,79.69,80.35,9.63,9.85,9.87,9.95,90.94,91.20,91.50,91.87,99.94,99.23,99.92,,86.85,87.86,71.08,,94.37,95.06,96.39,,74.86,75.14,75.36,75.70,0.84,0.85,0.85,0.86,,,40,43,83.29,80.45,,94.21
Banten,Pandeglang,72.32,74.87,75.63,65.24,5,5,4,4,57.67,55.19,53.52,52.42,95925.14,87157.84,77466.21,105490.00,69.70,70.28,70.88,71.84,7.13,7.15,7.16,7.50,87.38,87.71,87.93,88.23,,105.26,98.67,,,87.97,80.06,,62.14,62.08,63.66,,73.63,74.01,74.22,74.56,0.83,0.83,0.83,0.84,,,192,193,43.58,46.35,,52.55
,Lebak,71.96,72.32,72.76,75.16,5,5,5,5,52.26,50.65,48.23,47.62,82353.92,78300.16,74016.18,88819.00,67.19,67.68,68.33,69.24,6.59,6.60,6.61,6.78,80.48,81.16,81.69,82.13,,99.43,98.86,,,77.38,75.98,,67.40,68.83,70.23,,73.43,73.80,73.99,74.30,0.82,0.83,0.83,0.84,,,211,205,58.58,59.52,,66.10
,Tangerang,77.00,76.49,77.60,79.39,6,6,6,6,47.50,52.45,51.17,52.80,61015.22,55304.56,58366.18,58298.00,75.15,75.56,76.19,76.74,8.92,8.93,9.06,9.16,92.10,92.59,92.63,93.30,,95.61,96.55,,,89.93,90.03,,86.63,87.75,89.38,,74.91,75.18,75.34,75.63,0.84,0.85,0.85,0.86,,,439,463,66.97,66.78,,74.57
,Serang,78.63,79.26,81.39,82.12,6,6,6,6,52.70,57.78,53.84,52.80,84760.35,77724.63,75987.48,79503.00,71.99,72.63,73.28,74.10,7.78,7.79,7.88,8.03,93.11,93.40,93.52,93.75,,99.65,99.64,,,85.29,83.81,,82.38,84.07,85.31,,74.22,74.62,74.91,75.39,0.83,0.84,0.84,0.85,,,215,225,41.54,47.46,,59.07
,Kota Tangerang,79.08,86.39,85.92,81.43,6,6,6,6,56.14,62.19,62.17,62.36,610.11,524.62,435.58,164.00,80.44,80.98,81.53,82.41,10.84,10.91,11.14,11.46,95.63,95.81,95.91,96.27,,99.34,99.07,,,83.75,78.72,,94.43,94.95,96.93,,75.02,75.30,75.50,75.86,0.85,0.85,0.85,0.86,,,243,262,74.86,83.29,,90.30
,Kota Cilegon,72.63,81.54,80.12,76.15,6,6,5,5,52.93,53.25,53.07,50.57,1719.38,1686.96,1809.05,1664.00,77.68,78.24,78.83,79.54,10.34,10.38,10.39,10.40,88.28,88.89,89.17,89.29,,99.57,99.73,,,87.99,85.33,,87.72,96.23,97.10,,74.51,74.81,75.03,75.45,0.84,0.84,0.85,0.85,,,73,85,64.02,76.66,,80.20
,Kota Serang,59.88,71.42,71.95,78.52,4,6,6,6,51.57,54.78,53.49,53.17,10856.62,10500.96,11010.11,11482.00,76.01,76.43,76.90,77.50,8.90,8.91,8.93,8.94,93.31,93.41,93.59,93.76,,98.32,98.37,,,83.07,77.02,,91.55,92.36,92.71,,74.84,75.13,75.31,75.63,0.84,0.85,0.85,0.86,,,110,109,55.31,61.33,,67.04
,Kota Tangerang Selatan,78.74,87.43,88.67,78.24,6,6,6,6,-,-,-,-,-,–,–,-,83.28,83.57,84.16,84.81,11.84,11.85,11.86,12.10,95.01,95.10,95.29,95.52,,97.33,97.13,,,87.32,87.02,,97.56,99.29,99.34,,75.40,75.64,75.80,76.09,0.85,0.86,0.86,0.86,,,164,169,72.87,76.37,,83.95
Bali,Jembrana,83.29,86.59,87.64,78.04,6,6,6,6,55.65,62.13,63.17,65.35,10449.95,10277.69,8874.59,11290.00,74.38,74.80,75.32,75.94,8.64,8.65,8.70,8.71,95.19,95.21,95.50,95.54,97.83,97.77,96.98,98.40,94.11,88.12,85.36,86.69,95.20,96.05,96.13,96.79,74.56,74.84,75.07,75.42,0.84,0.84,0.85,0.85,,,86,90,88.22,89.94,91.04,93.25
,Tabanan,92.20,90.54,92.51,77.79,6,6,6,6,58.29,60.13,60.66,58.84,29039.47,28190.36,26906.39,26863.00,77.22,77.87,78.83,79.70,9.15,9.35,9.57,9.81,95.92,95.85,96.16,96.41,98.62,99.22,99.82,96.47,91.51,88.46,89.92,84.50,93.34,95.56,96.25,98.48,75.10,75.41,75.67,76.07,0.85,0.85,0.86,0.86,,,158,159,74.55,80.82,86.81,88.17
,Badung,91.29,91.59,92.90,88.79,6,6,6,6,64.90,68.31,69.30,68.28,15316.80,15329.63,14012.66,12875.00,82.13,83.00,83.73,84.27,10.64,10.90,11.14,11.26,95.69,95.70,96.13,96.22,98.20,98.03,98.72,94.84,84.23,86.64,88.57,87.13,97.50,98.98,99.30,100.00,75.52,75.73,75.90,76.18,0.85,0.86,0.86,0.86,,,145,156,89.85,92.51,90.31,91.92
,Gianyar,91.07,92.16,92.77,83.31,6,6,6,6,64.99,67.72,61.06,61.71,20565.54,18224.45,18827.7,15315.00,78.87,79.69,80.23,80.96,9.55,9.80,9.84,9.93,95.14,95.15,95.31,95.21,97.47,97.40,98.59,96.73,97.70,90.04,89.52,86.83,99.95,99.00,99.52,99.38,75.13,75.45,75.72,76.14,0.85,0.85,0.86,0.86,,,141,141,61.09,73.17,60.78,97.05
,Klungkung,83.29,87.53,87.47,73.79,6,6,5,5,61.60,64.87,62.35,61.89,4177.71,4407.93,3957.41,3938.00,73.77,74.18,75.15,75.89,8.46,8.48,8.74,8.75,92.11,92.51,92.98,93.06,98.25,98.18,97.85,98.43,90.15,74.00,75.63,78.18,96.04,97.70,99.23,99.57,74.48,74.61,74.90,75.32,0.84,0.84,0.84,0.85,,,85,92,92.92,94.69,97.59,98.18
,Bangli,75.10,77.35,77.19,74.17,5,6,5,5,53.51,52.29,52.09,49.57,4042.39,3935.4,3419.26,3076.00,71.47,71.99,72.51,73.22,7.47,7.57,7.58,7.80,92.20,92.72,93.17,93.49,93.53,96.77,99.18,98.82,90.83,74.90,76.31,87.28,92.41,91.58,92.49,94.64,73.67,73.98,74.23,74.60,0.83,0.83,0.83,0.84,,,95,94,81.78,80.98,85.08,91.52
,Karang Asem,78.79,85.28,83.97,75.72,6,6,5,5,61.02,62.24,60.10,62.91,8536.23,7651.87,8000.98,7595.00,69.48,70.09,70.91,71.89,6.67,6.68,6.70,6.98,90.29,90.64,91.22,91.27,99.01,98.85,98.89,97.70,83.99,84.20,87.83,82.56,90.24,90.55,91.31,94.90,73.63,73.93,74.17,74.52,0.83,0.83,0.83,0.84,,,114,115,87.03,91.81,93.81,96.02
,Buleleng,79.91,82.02,83.26,75.76,6,6,5,5,56.04,54.12,55.04,53.93,16187.35,16885.6,16341.2,13750.00,74.48,74.87,75.35,76.06,7.56,7.57,7.69,7.94,92.62,92.70,92.98,93.25,95.10,95.12,98.83,97.25,86.87,85.44,87.30,83.45,92.41,90.99,93.79,95.80,74.55,74.65,74.71,74.87,0.84,0.84,0.84,0.84,,,162,161,79.42,74.71,81.00,86.08
,Kota Denpasar,91.82,95.80,96.37,83.79,6,6,6,6,74.77,66.20,68.10,69.19,4005.18,3611.13,3463.74,1743.00,84.39,84.68,85.11,85.63,11.50,11.52,11.53,11.64,97.57,97.39,97.39,97.84,98.20,98.83,98.67,97.55,79.40,82.25,84.62,84.36,100.00,99.92,99.01,99.92,75.33,75.59,75.80,76.16,0.85,0.86,0.86,0.86,,,126,146,71.64,79.96,80.08,79.51
Nusa Tenggara Barat,Lombok Barat,74.76,73.44,75.74,73.50,5,5,5,5,50.28,52.22,49.42,54.29,26862.66,26302.61,24859.51,25434.00,69.41,72.18,72.70,73.52,6.60,6.87,6.88,7.15,90.36,90.71,90.74,90.44,99.91,96.58,91.28,91.59,87.22,87.09,86.99,,75.74,77.81,79.62,,71.94,72.37,72.64,73.03,0.80,0.81,0.81,0.82,,,155,167,49.14,59.72,,59.66
,Lombok Tengah,77.06,75.60,79.50,75.07,6,5,5,5,53.12,52.59,50.51,53.80,70264.03,72413.84,70777.87,78912.00,67.57,70.41,71.19,72.07,6.44,6.61,6.73,7.08,88.36,88.78,88.86,89.03,97.01,95.46,92.73,91.26,82.37,80.66,79.23,,82.10,83.18,85.31,,71.02,71.39,71.59,71.89,0.78,0.79,0.79,0.80,,,230,254,46.14,47.34,,61.08
,Lombok Timur,73.87,71.48,73.32,70.36,5,5,5,5,56.61,55.76,53.66,53.34,42712.90,44699.88,47390.38,45202.00,67.59,70.65,71.48,72.35,7.04,7.12,7.36,7.71,92.54,92.35,92.48,92.62,99.92,95.37,95.45,90.95,85.26,84.78,85.34,,83.35,85.68,87.98,,71.33,71.72,71.95,72.29,0.79,0.80,0.80,0.80,,,245,275,55.89,55.28,,67.76
,Sumbawa,83.32,84.00,85.82,74.59,6,6,5,5,55.90,56.80,55.32,54.03,55173.06,56579.25,53470.91,74729.00,68.89,71.68,72.36,73.27,8.21,8.52,8.59,8.88,94.56,94.88,95.05,94.80,98.17,87.92,92.98,91.93,86.27,77.48,79.95,,84.54,89.29,89.40,,72.03,72.41,72.67,73.07,0.80,0.81,0.81,0.82,,,166,174,59.98,59.26,,73.68
,Dompu,81.30,78.85,81.24,77.50,6,6,6,6,51.65,49.73,46.78,50.66,16206.83,18977.98,21724.89,30417.00,69.15,71.77,72.59,73.58,8.73,8.97,9.04,9.38,91.19,91.39,91.57,91.65,99.98,81.49,84.30,91.51,88.50,84.93,84.10,,78.09,83.23,84.63,,71.18,71.54,71.76,72.09,0.79,0.79,0.80,0.80,,,74,78,57.85,61.10,,67.40
,Bima,80.39,77.68,78.26,77.98,6,6,6,6,51.83,49.91,48.50,48.12,35364.79,44474.36,42201.82,42833.00,67.57,70.33,70.99,71.97,8.17,8.29,8.30,8.61,92.47,92.26,92.41,92.58,97.76,81.71,90.44,87.69,84.66,82.95,80.73,,83.33,85.24,87.90,,71.28,71.65,71.88,72.22,0.79,0.79,0.80,0.80,,,162,169,61.40,61.17,,65.48
,Sumbawa Barat,84.39,86.02,86.47,80.40,6,6,6,6,52.45,51.89,48.99,52.70,12951.23,13657.08,10544.63,14541.00,72.65,74.84,75.52,76.46,8.90,8.98,8.99,9.35,93.74,93.57,93.73,93.89,99.77,91.15,93.47,91.59,85.07,89.41,87.60,,97.18,99.45,98.09,,72.22,72.65,72.97,73.44,0.80,0.81,0.81,0.82,,,58,64,82.07,86.09,,85.57
,Lombok Utara,68.17,65.92,68.39,76.97,5,4,5,5,56.55,61.74,60.78,60.75,5673.62,5337.05,6070.36,5529.00,65.70,68.02,68.64,69.63,6.30,6.39,6.40,6.75,86.28,85.89,86.08,86.33,97.82,91.56,92.47,91.91,80.79,86.18,86.35,,81.44,84.72,85.88,,70.84,71.26,71.52,71.88,0.78,0.79,0.79,0.80,,,55,60,72.36,75.00,,90.88
,Kota Mataram,72.28,77.79,80.15,78.16,6,6,6,6,64.79,64.19,66.14,62.65,2556.73,2548.21,2338.93,2746.00,79.59,81.15,81.64,82.37,9.55,9.56,9.58,9.89,93.70,94.03,94.10,94.22,99.24,97.00,96.56,97.74,91.22,88.74,87.91,,91.36,89.57,89.72,,74.35,74.65,74.83,75.12,0.84,0.84,0.84,0.85,,,104,115,69.47,73.10,,82.42
,Kota Bima,70.25,74.31,75.53,81.96,5,6,6,6,46.86,52.23,53.89,52.87,2327.03,2521.88,2338.53,2552.00,76.84,78.24,78.91,79.41,10.94,10.95,10.96,10.97,96.95,96.98,97.03,96.96,99.98,90.09,88.77,88.18,96.90,78.46,76.36,,90.23,92.65,93.63,,72.65,72.97,73.15,73.45,0.81,0.81,0.82,0.82,,,57,58,79.35,82.49,,89.61
Nusa Tenggara Timur,Sumba Barat,68.08,69.46,71.31,55.09,5,5,3,3,33.71,36.54,36.82,44.30,8953.78,8525.03,6350.94,8235.00,66.03,66.82,67.70,68.46,6.85,6.92,7.17,7.39,94.60,94.87,95.09,95.54,93.40,94.18,95.54,90.45,71.01,73.51,75.21,72.73,52.84,58.83,60.76,62.82,70.97,71.16,71.37,71.63,0.78,0.79,0.79,0.79,,,31,26,93.94,,,97.28
,Sumba Timur,69.30,70.21,70.98,56.94,5,5,3,3,35.81,40.02,36.57,41.13,14602.19,15711.13,13509.34,22051.00,68.82,69.63,70.28,70.99,7.33,7.57,7.77,7.94,96.50,96.21,96.39,96.56,98.99,98.54,99.24,97.11,70.98,69.19,68.31,77.80,59.76,61.81,65.88,70.10,71.05,71.31,71.57,71.91,0.79,0.79,0.79,0.80,,,124,122,80.77,,,86.45
,Kupang,65.54,69.02,70.45,59.51,4,5,3,3,39.57,44.82,50.40,53.19,15479.07,18609.03,12508.23,17746.00,66.72,67.51,68.26,69.03,7.41,7.42,7.62,7.87,88.49,88.70,89.13,89.13,94.69,94.50,96.01,97.69,74.68,74.81,76.83,81.60,78.15,76.42,73.34,77.12,68.87,69.24,69.53,69.91,0.75,0.76,0.76,0.77,,,185,186,61.82,,,76.21
,Timor Tengah Selatan,63.65,67.61,67.02,56.47,4,4,3,3,46.68,40.58,44.39,44.17,3345.01,3888.33,3409.5,6544.00,64.54,65.39,66.22,66.88,6.76,6.97,7.21,7.43,95.19,95.64,96.04,95.93,98.00,97.93,98.05,94.82,67.91,66.88,68.49,71.80,60.52,67.93,70.72,71.13,70.84,71.02,71.22,71.47,0.78,0.78,0.79,0.79,,,149,180,58.78,,,73.63
,Timor Tengah Utara,69.36,72.96,73.61,58.57,5,5,3,3,34.48,41.15,37.58,49.55,7440.85,9634.62,9885.64,10969.00,65.65,66.56,67.27,67.87,7.97,8.16,8.17,8.36,95.51,95.85,96.10,96.23,96.47,96.28,97.12,95.01,68.19,68.51,68.45,79.13,81.98,80.56,80.84,84.31,70.50,70.75,71.02,71.39,0.78,0.78,0.78,0.79,,,87,89,65.62,,,66.41
,Belu,70.48,75.69,71.21,56.52,5,6,3,3,43.38,32.52,31.44,44.88,5357.34,4125.97,3756.66,4890.00,66.87,67.50,68.13,68.89,7.38,7.39,7.50,7.73,98.15,98.12,98.06,98.15,95.88,95.75,97.15,96.85,63.51,64.73,61.79,75.26,83.96,83.95,85.78,86.89,73.58,73.97,74.30,74.77,0.82,0.83,0.84,0.84,,,50,52,77.06,,,64.78
,Alor,58.97,65.43,63.81,55.70,3,4,3,3,29.93,31.70,30.45,35.52,1188.15,617.72,1036.1,1309.00,66.08,66.82,67.70,68.44,8.43,8.45,8.61,8.72,92.66,92.79,93.02,93.24,94.72,94.60,97.75,95.54,74.31,74.84,76.26,75.85,81.59,81.57,85.83,88.39,70.19,70.55,70.88,71.33,0.77,0.78,0.78,0.79,,,87,97,76.86,,,81.25
,Lembata,66.98,69.00,70.11,54.25,4,5,3,3,44.16,29.69,29.34,39.16,45.54,280.64,256.13,454.00,67.76,68.41,68.95,69.70,8.25,8.26,8.27,8.49,91.60,91.74,91.95,92.17,94.81,94.96,97.18,94.01,80.77,81.83,79.09,79.97,88.41,87.36,88.61,92.61,72.68,73.00,73.35,73.81,0.81,0.82,0.82,0.83,,,57,59,71.37,,,77.77
,Flores Timur,73.00,73.54,68.61,59.23,5,5,3,3,22.89,21.23,20.36,22.88,3283.54,2826.99,2533.13,3134.00,68.36,69.24,69.79,70.61,7.79,8.04,8.06,8.19,92.49,92.43,92.74,92.94,99.96,99.91,98.47,95.12,65.42,73.00,76.21,77.53,88.00,93.03,96.98,95.13,73.23,73.57,73.91,74.37,0.82,0.82,0.83,0.84,,,89,97,56.59,,,68.97
,Sikka,75.72,77.07,77.22,61.80,6,6,4,4,35.32,39.30,37.08,41.75,3211.93,3169.86,3427.56,4571.00,68.66,69.41,69.96,70.65,6.96,6.98,6.99,7.20,89.30,89.87,90.33,90.79,98.83,98.70,98.84,92.07,69.91,73.44,75.97,70.15,79.16,80.66,85.35,87.12,73.75,73.97,74.24,74.64,0.83,0.83,0.83,0.84,,,115,111,67.14,,,71.38
,Ende,70.13,73.42,72.93,63.06,5,5,4,4,46.87,46.20,44.29,43.23,4668.10,5336.34,5048.27,6222.00,71.10,71.77,72.24,72.73,8.09,8.20,8.29,8.52,96.53,96.35,96.50,96.51,95.86,95.67,96.99,98.45,69.55,75.99,77.74,83.92,88.09,88.45,92.69,94.12,72.38,72.74,72.87,73.06,0.81,0.81,0.81,0.82,,,96,96,77.30,,,75.44
,Ngada,78.00,81.74,82.72,64.71,6,6,4,4,42.42,51.34,49.25,49.98,11333.52,11223.39,9370.09,10577.00,70.73,71.61,72.04,72.53,8.54,8.82,8.83,8.84,96.32,96.95,97.10,97.32,98.76,98.75,98.19,95.54,81.60,84.40,81.65,79.83,86.66,87.08,86.56,94.51,73.85,74.12,74.43,74.89,0.83,0.83,0.84,0.84,,,91,91,58.35,,,67.71
,Manggarai,74.27,76.93,75.69,61.54,5,6,4,4,45.88,44.90,46.23,50.83,19258.58,17724.85,18066.08,16479.00,67.88,68.48,69.35,70.10,7.62,7.63,7.91,8.17,88.47,88.99,89.15,89.62,94.94,95.23,96.74,94.38,68.59,74.54,73.34,80.74,62.10,62.76,66.26,69.37,71.96,72.20,72.44,72.76,0.80,0.80,0.81,0.81,,,118,124,69.15,,,71.76
,Rote Ndao,68.23,70.43,71.27,55.34,5,5,3,3,36.31,39.61,38.89,42.84,7941.17,7767.75,6919.65,14224.00,65.05,65.79,66.40,67.01,7.76,7.82,7.83,7.84,85.04,85.39,85.69,86.23,99.13,98.99,98.88,95.74,74.08,74.09,73.05,75.98,88.82,84.92,85.16,88.19,69.32,69.55,69.81,70.17,0.76,0.76,0.77,0.77,,,105,113,50.77,,,56.90
,Manggarai Barat,75.17,76.76,78.00,60.88,5,6,3,3,50.30,44.87,44.75,50.11,24670.41,22372.69,23994.86,25995.00,66.95,67.84,68.68,69.20,7.80,7.94,8.21,8.26,87.82,88.51,89.11,89.13,93.13,93.16,94.15,96.53,74.38,79.49,83.13,82.28,78.09,80.81,82.03,84.76,72.35,72.59,72.86,73.24,0.81,0.81,0.81,0.82,,,85,84,80.89,,,83.19
,Sumba Tengah,63.76,67.29,65.96,53.38,4,4,2,2,38.29,33.95,42.71,44.93,6317.27,6916.75,5109.5,6899.00,62.84,63.63,64.46,65.29,6.73,7.00,7.23,7.50,90.51,90.75,91.25,91.61,99.42,99.40,99.30,96.33,75.86,80.69,84.31,77.71,54.29,48.22,52.51,62.31,68.96,69.21,69.46,69.77,0.75,0.76,0.76,0.77,,,29,31,96.48,,,98.44
,Sumba Barat Daya,58.36,62.66,62.53,49.22,3,4,2,2,37.08,34.74,30.21,32.01,13332.65,14302.87,13253.47,13660.00,63.15,63.74,64.27,64.82,6.37,6.38,6.39,6.47,98.25,98.26,98.36,98.29,92.11,91.95,93.98,94.98,59.56,62.46,59.48,75.44,45.83,49.82,52.60,58.48,68.79,68.99,69.20,69.46,0.75,0.75,0.76,0.76,,,74,79,69.73,,,73.95
,Nagekeo,73.33,74.27,75.20,57.74,5,5,3,3,36.61,36.83,50.72,49.74,7518.67,6359.42,7821.06,11137.00,68.17,69.03,69.70,70.48,7.91,8.14,8.23,8.47,98.72,98.01,98.44,98.47,98.72,98.64,98.64,95.97,75.37,75.50,78.24,86.51,88.30,80.06,83.52,93.58,71.89,72.24,72.51,72.89,0.80,0.80,0.81,0.81,,,73,67,50.26,,,64.62
,Manggarai Timur,65.49,66.69,66.92,59.62,4,4,3,3,47.22,44.85,46.00,43.48,16513.01,16465.59,15407.23,16935.00,64.11,65.05,66.03,66.63,7.42,7.70,7.96,8.11,91.39,91.51,92.07,91.93,99.68,99.32,99.25,95.18,70.58,85.78,83.15,77.06,51.83,54.82,55.75,64.18,72.62,72.79,72.98,73.19,0.81,0.81,0.82,0.82,,,100,109,52.23,,,61.01
,Sabu Raijua,55.04,58.42,56.66,51.43,3,3,2,2,48.40,45.57,38.54,52.96,1488.72,1458.3,723.57,1959.00,60.35,61.37,62.06,62.74,6.77,6.98,6.99,7.10,92.82,92.52,92.70,93.21,92.67,92.90,96.21,94.00,75.68,77.17,79.76,72.64,69.60,75.21,83.51,86.96,66.29,66.46,66.65,66.88,0.71,0.71,0.72,0.72,,,62,64,89.22,,,84.68
,Malaka,68.56,73.00,71.78,59.56,5,5,3,3,37.86,39.11,38.25,48.99,6815.93,7054.92,6063.09,7855.00,63.84,64.50,65.13,65.84,7.12,7.13,7.14,7.38,90.22,90.55,90.92,91.70,96.03,96.16,97.73,95.18,60.90,79.51,78.05,78.42,70.88,71.32,73.70,75.48,71.12,71.28,71.47,71.72,0.79,0.79,0.79,0.80,,,52,54,40.01,,,71.21
,Kota Kupang,73.89,75.85,75.94,59.89,6,6,3,3,48.02,48.93,50.50,63.00,326.56,326.7,277.15,244.00,82.37,82.77,83.21,83.65,11.61,11.62,11.64,11.66,97.20,97.23,97.38,97.45,92.14,92.15,93.98,96.17,73.23,75.13,75.02,73.62,82.74,89.47,91.69,93.47,74.29,74.66,74.95,75.38,0.84,0.84,0.85,0.85,,,113,117,78.61,,,85.19
Kalimantan Barat,Sambas,69.84,69.71,70.83,66.57,5,5,4,4,27.95,30.57,30.45,30.03,63168.71,58030.79,64122.36,68422.00,69.88,70.60,71.20,72.08,6.74,6.75,6.76,7.00,88.37,88.91,89.04,89.77,98.52,98.48,99.14,94.35,63.99,72.87,74.62,70.71,90.43,90.02,93.68,,73.70,74.02,74.32,74.80,0.83,0.83,0.84,0.84,,,144,147,46.78,50.13,,61.84
,Bengkayang,81.00,81.36,81.24,75.11,6,6,5,5,30.99,34.21,30.57,28.32,10436.62,10171.21,12031.85,16274.00,68.74,69.53,70.30,70.99,7.00,7.22,7.41,7.62,83.23,83.68,84.09,84.69,97.24,97.61,98.62,96.07,61.41,65.01,68.90,82.46,79.53,83.76,84.37,,74.00,74.20,74.42,74.74,0.83,0.83,0.84,0.84,,,86,90,61.27,71.84,,76.31
,Landak,77.07,76.89,76.96,69.95,6,6,5,5,31.33,32.96,31.09,27.89,29829.89,30410.15,31205.62,43741.00,67.28,68.22,69.13,69.92,7.15,7.24,7.46,7.76,89.20,89.52,89.78,89.85,96.27,97.05,99.42,96.26,65.60,67.49,69.39,64.82,66.00,65.24,66.28,,73.64,73.95,74.13,74.40,0.83,0.83,0.83,0.84,,,95,113,66.79,66.72,,78.56
,Mempawah,74.61,74.04,73.85,74.31,5,5,5,5,33.18,31.86,35.20,33.77,15125.74,15334.95,17913.41,12548.00,67.91,68.91,69.63,70.59,7.17,7.20,7.21,7.40,88.82,89.39,89.64,89.87,98.85,98.75,99.60,96.94,58.09,73.50,74.59,79.50,79.44,81.92,80.80,,73.75,74.04,74.34,74.82,0.83,0.83,0.84,0.84,,,50,51,56.87,66.06,,79.99
,Sanggau,73.63,77.82,78.51,75.80,5,6,5,5,24.52,25.67,25.64,22.76,26153.43,25139.24,25062.52,35930.00,67.87,68.73,69.40,70.36,7.41,7.44,7.47,7.81,82.59,83.10,83.53,83.89,98.05,98.07,98.52,96.17,65.79,71.07,74.29,67.07,64.98,65.96,73.57,,73.83,74.01,74.15,74.36,0.83,0.83,0.83,0.84,,,111,118,41.63,46.76,,48.25
,Ketapang,74.41,75.99,77.17,73.19,5,6,5,5,38.72,37.50,36.56,36.53,27283.40,23501.08,29236.61,22718.00,68.86,69.61,70.34,71.30,7.48,7.55,7.68,7.99,89.34,89.79,89.98,90.03,97.18,97.38,98.07,97.32,71.60,73.52,76.66,70.09,74.10,80.12,83.89,,73.44,73.58,73.72,73.92,0.82,0.82,0.83,0.83,,,213,208,46.51,50.76,,69.09
,Sintang,67.25,75.46,76.17,69.70,4,5,5,5,27.85,26.91,28.29,22.12,11240.76,9100.6,10727.75,10235.00,68.59,69.39,70.13,70.92,7.36,7.64,7.65,7.86,87.82,88.23,88.62,89.02,97.99,98.52,99.68,93.34,56.87,67.84,71.47,68.02,73.63,78.91,80.06,,73.81,74.07,74.35,74.71,0.83,0.83,0.84,0.84,,,138,145,50.03,54.93,,59.60
,Kapuas Hulu,70.90,69.97,74.43,68.28,5,5,4,4,27.38,29.08,27.94,22.25,5542.94,6117.85,5321.26,5373.00,66.91,67.86,68.77,69.24,7.59,7.82,8.03,8.04,86.29,86.69,87.00,87.23,98.35,98.14,98.02,95.42,68.25,72.85,69.78,78.38,60.31,69.76,74.44,,73.20,73.33,73.49,73.69,0.82,0.82,0.82,0.83,,,113,116,38.09,46.34,,45.90
,Sekadau,72.95,71.55,73.84,76.19,5,5,5,5,29.60,28.90,31.80,27.04,9889.04,9522.54,11437.76,12074.00,66.13,66.83,67.74,68.73,7.12,7.13,7.23,7.53,83.72,84.44,84.58,84.80,98.24,98.20,98.78,97.36,65.74,66.56,69.31,75.59,72.33,77.83,72.69,,73.72,73.93,74.12,74.30,0.83,0.83,0.83,0.84,,,76,83,45.94,52.19,,58.64
,Melawi,59.04,54.80,59.56,68.79,3,3,4,4,26.93,29.94,27.11,21.75,2953.29,3071.59,2911.24,4560.00,66.99,67.92,68.81,69.80,7.18,7.42,7.66,8.05,81.17,81.36,82.02,82.43,95.73,95.76,98.04,97.36,64.92,65.39,68.56,75.02,65.50,66.24,71.38,,73.57,73.70,73.82,73.96,0.82,0.83,0.83,0.83,,,71,78,48.62,50.78,,51.94
,Kayong Utara,75.03,75.27,76.53,76.55,5,5,5,5,34.87,35.82,34.25,34.33,12126.42,10647.66,10895.44,8187.00,65.09,66.06,67.05,67.60,6.21,6.35,6.54,6.55,86.69,86.85,87.06,87.13,98.37,98.14,98.23,95.29,81.40,81.74,83.68,74.79,77.87,70.59,73.00,,71.81,72.17,72.54,73.02,0.80,0.80,0.81,0.82,,,47,49,78.47,84.41,,95.98
,Kubu Raya,69.28,68.61,68.90,66.49,5,5,4,4,28.86,28.94,27.11,30.11,24369.83,19427.79,22666.65,19296.00,69.83,70.50,71.14,72.01,7.02,7.04,7.05,7.35,85.25,85.64,85.92,86.85,97.61,97.91,98.84,94.20,80.14,70.47,71.37,72.96,73.52,77.79,77.94,,73.01,73.27,73.42,73.66,0.82,0.82,0.82,0.83,,,127,127,49.49,54.82,,60.85
,Kota Pontianak,64.81,71.15,72.55,73.16,5,6,5,5,35.09,35.17,27.86,33.01,130.38,116.63,122.56,171.00,81.10,81.63,82.22,82.80,10.44,10.45,10.47,10.48,94.98,95.09,95.20,95.46,95.93,96.11,97.09,95.21,72.23,73.33,75.99,70.82,98.13,98.06,96.50,,74.72,75.07,75.46,75.96,0.84,0.85,0.85,0.86,,,76,82,52.55,60.20,,71.50
,Kota Singkawang,61.50,68.12,68.27,77.47,5,5,6,6,37.69,36.10,36.39,32.71,3228.15,3476.44,3552.68,4023.00,73.66,74.13,74.68,75.67,8.19,8.21,8.22,8.58,93.30,93.68,93.91,94.07,98.49,98.52,98.51,96.37,73.92,74.17,72.01,65.98,93.70,88.29,89.23,,74.14,74.42,74.75,75.23,0.83,0.84,0.84,0.85,,,55,57,72.77,75.56,,82.37
